iri	status	name	description	code	scheme
:LE_8840	im:CM_ActiveStatus	Emergency Department Discharge/end visit (other)		LE_8840	:TermBasedCode
:LE_8841	im:CM_ActiveStatus	Emergency Department Discharge/end visit (recurring)		LE_8841	:TermBasedCode
:LE_8842	im:CM_ActiveStatus	Emergency Department Transfer a patient (emergency)		LE_8842	:TermBasedCode
:LE_8843	im:CM_ActiveStatus	Emergency Department Transfer a patient (inpatient)		LE_8843	:TermBasedCode
:LE_8844	im:CM_ActiveStatus	Frenchay A  E		LE_8844	:TermBasedCode
:LE_8845	im:CM_ActiveStatus	G.W.H. - Ae		LE_8845	:TermBasedCode
:LE_8846	im:CM_ActiveStatus	Hillingdon A  E Dept		LE_8846	:TermBasedCode
:LE_8847	im:CM_ActiveStatus	Hinchingbrooke A  E		LE_8847	:TermBasedCode
:LE_8848	im:CM_ActiveStatus	Hosp.Outpt. A  E  R.S.C.H		LE_8848	:TermBasedCode
:LE_8849	im:CM_ActiveStatus	Hosp.Outpt. A  E Other Hosp.		LE_8849	:TermBasedCode
:LE_885	im:CM_ActiveStatus	Primary Health Care Centre, F82610		LE_885	:TermBasedCode
:LE_8850	im:CM_ActiveStatus	Hospital - Accident And Emergency		LE_8850	:TermBasedCode
:LE_8851	im:CM_ActiveStatus	Hospital A  E		LE_8851	:TermBasedCode
:LE_8852	im:CM_ActiveStatus	Hospital A  E Department		LE_8852	:TermBasedCode
:LE_8853	im:CM_ActiveStatus	Hospital A  E Dept		LE_8853	:TermBasedCode
:LE_8854	im:CM_ActiveStatus	Hospital Ae		LE_8854	:TermBasedCode
:LE_8855	im:CM_ActiveStatus	Hospital, AE		LE_8855	:TermBasedCode
:LE_8856	im:CM_ActiveStatus	L G I - A  E		LE_8856	:TermBasedCode
:LE_8857	im:CM_ActiveStatus	Leighton A  E		LE_8857	:TermBasedCode
:LE_8858	im:CM_ActiveStatus	Lewisham Ae		LE_8858	:TermBasedCode
:LE_8859	im:CM_ActiveStatus	Lewisham A+e		LE_8859	:TermBasedCode
:LE_886	im:CM_ActiveStatus	Princes Street		LE_886	:TermBasedCode
:LE_8860	im:CM_ActiveStatus	Mid Essex Hosp Services- Dept of A  E		LE_8860	:TermBasedCode
:LE_8861	im:CM_ActiveStatus	Minor Accident Unit		LE_8861	:TermBasedCode
:LE_8862	im:CM_ActiveStatus	Moorfields Eye Hospital A  E		LE_8862	:TermBasedCode
:LE_8863	im:CM_ActiveStatus	MOORFIELDS EYE HOSPITAL- AE		LE_8863	:TermBasedCode
:LE_8864	im:CM_ActiveStatus	NORTH DEVON DISTRICT HOSPITAL - AE		LE_8864	:TermBasedCode
:LE_8865	im:CM_ActiveStatus	Presented At Ae		LE_8865	:TermBasedCode
:LE_8866	im:CM_ActiveStatus	Queen Elizabeth A  E		LE_8866	:TermBasedCode
:LE_8867	im:CM_ActiveStatus	Recording AE attendance		LE_8867	:TermBasedCode
:LE_8868	im:CM_ActiveStatus	ROYAL BOLTON HOSPITAL - ACCIDENT  EMERGENCY		LE_8868	:TermBasedCode
:LE_8869	im:CM_ActiveStatus	Royal Hampshire County Hospital - Accident  Emergency		LE_8869	:TermBasedCode
:LE_887	im:CM_ActiveStatus	Progress report		LE_887	:TermBasedCode
:LE_8870	im:CM_ActiveStatus	Royal London Hospital (A  E)		LE_8870	:TermBasedCode
:LE_8871	im:CM_ActiveStatus	Royal Oldham Hospital-A  E Dept		LE_8871	:TermBasedCode
:LE_8872	im:CM_ActiveStatus	S J U H - A  E		LE_8872	:TermBasedCode
:LE_8873	im:CM_ActiveStatus	Seen By Ae		LE_8873	:TermBasedCode
:LE_8874	im:CM_ActiveStatus	Self Referral-Accident  Emergency		LE_8874	:TermBasedCode
:LE_8875	im:CM_ActiveStatus	Southampton University Hospitals NHS Trust-EYE AE		LE_8875	:TermBasedCode
:LE_8876	im:CM_ActiveStatus	THE ROYAL WOLVERHAMPTON HOSPITAL - Accident  Emergency		LE_8876	:TermBasedCode
:LE_8877	im:CM_ActiveStatus	University Hospital Aintree A  E		LE_8877	:TermBasedCode
:LE_8878	im:CM_ActiveStatus	Weston General Hospital - A  E		LE_8878	:TermBasedCode
:LE_8879	im:CM_ActiveStatus	Hospital Admission		LE_8879	:TermBasedCode
:LE_888	im:CM_ActiveStatus	Pucklechurch Surgery		LE_888	:TermBasedCode
:LE_8880	im:CM_ActiveStatus	*HOSPITAL		LE_8880	:TermBasedCode
:LE_8881	im:CM_ActiveStatus	Abroad		LE_8881	:TermBasedCode
:LE_8882	im:CM_ActiveStatus	addenbrookes hospital		LE_8882	:TermBasedCode
:LE_8883	im:CM_ActiveStatus	Airedale Hospital		LE_8883	:TermBasedCode
:LE_8884	im:CM_ActiveStatus	Aldeburgh Cottage Hospital		LE_8884	:TermBasedCode
:LE_8885	im:CM_ActiveStatus	alderhey childrens hospital		LE_8885	:TermBasedCode
:LE_8886	im:CM_ActiveStatus	Andover War Memorial Community Hospital-DERMATOLOGY		LE_8886	:TermBasedCode
:LE_8887	im:CM_ActiveStatus	Appleton, Hospital		LE_8887	:TermBasedCode
:LE_8888	im:CM_ActiveStatus	Barnet  Chase Farm Hospitals		LE_8888	:TermBasedCode
:LE_8889	im:CM_ActiveStatus	Barnet General Hospital		LE_8889	:TermBasedCode
:LE_889	im:CM_ActiveStatus	Putneymead Medical Centre		LE_889	:TermBasedCode
:LE_8890	im:CM_ActiveStatus	Basildon Hospital		LE_8890	:TermBasedCode
:LE_8891	im:CM_ActiveStatus	Basingstoke and North Hants Hospital		LE_8891	:TermBasedCode
:LE_8892	im:CM_ActiveStatus	Bedford Hospital		LE_8892	:TermBasedCode
:LE_8893	im:CM_ActiveStatus	Benenden Hospital		LE_8893	:TermBasedCode
:LE_8894	im:CM_ActiveStatus	Bicester Community Hospital		LE_8894	:TermBasedCode
:LE_8895	im:CM_ActiveStatus	Birmingham Childrens Hospital		LE_8895	:TermBasedCode
:LE_8896	im:CM_ActiveStatus	birmingham womens hospital		LE_8896	:TermBasedCode
:LE_8897	im:CM_ActiveStatus	Bishop Auckand General Hospital		LE_8897	:TermBasedCode
:LE_8898	im:CM_ActiveStatus	BMI Edgbaston Hospital		LE_8898	:TermBasedCode
:LE_8899	im:CM_ActiveStatus	BMI Priory Hospital		LE_8899	:TermBasedCode
:LE_89	im:CM_ActiveStatus	Telephone call to relative/carer		LE_89	:TermBasedCode
:LE_890	im:CM_ActiveStatus	Queen Square Surgery		LE_890	:TermBasedCode
:LE_8900	im:CM_ActiveStatus	Brentwood Community Hospital		LE_8900	:TermBasedCode
:LE_8901	im:CM_ActiveStatus	Bridgwater Hospital		LE_8901	:TermBasedCode
:LE_8902	im:CM_ActiveStatus	bristol childrens hospital		LE_8902	:TermBasedCode
:LE_8903	im:CM_ActiveStatus	Broomfield Hospital		LE_8903	:TermBasedCode
:LE_8904	im:CM_ActiveStatus	Burnley General Hospital		LE_8904	:TermBasedCode
:LE_8905	im:CM_ActiveStatus	Calderdale Royal Hospital, Hospital		LE_8905	:TermBasedCode
:LE_8906	im:CM_ActiveStatus	Cannock Chase Hospital		LE_8906	:TermBasedCode
:LE_8907	im:CM_ActiveStatus	Castle Hill Hospital		LE_8907	:TermBasedCode
:LE_8908	im:CM_ActiveStatus	Casualty - Moorfields Eye Hospital		LE_8908	:TermBasedCode
:LE_8909	im:CM_ActiveStatus	Casualty - Whittington Hospital		LE_8909	:TermBasedCode
:LE_891	im:CM_ActiveStatus	Queens Town Road Medical Practice		LE_891	:TermBasedCode
:LE_8910	im:CM_ActiveStatus	Casualty Lytham Hospital		LE_8910	:TermBasedCode
:LE_8911	im:CM_ActiveStatus	Casualty Scarborough Hospital		LE_8911	:TermBasedCode
:LE_8912	im:CM_ActiveStatus	Casualty Victoria Hospital		LE_8912	:TermBasedCode
:LE_8913	im:CM_ActiveStatus	Casualty, Q.E.Q.M. Hospital		LE_8913	:TermBasedCode
:LE_8914	im:CM_ActiveStatus	Charing Cross Hospital		LE_8914	:TermBasedCode
:LE_8915	im:CM_ActiveStatus	Chase Farm Hospital		LE_8915	:TermBasedCode
:LE_8916	im:CM_ActiveStatus	Chelsea  Westminster Hospital		LE_8916	:TermBasedCode
:LE_8917	im:CM_ActiveStatus	Chipping Norton Hospital		LE_8917	:TermBasedCode
:LE_8918	im:CM_ActiveStatus	CHUFT - Colchester District General Hospital		LE_8918	:TermBasedCode
:LE_8919	im:CM_ActiveStatus	City General Hospital		LE_8919	:TermBasedCode
:LE_892	im:CM_ActiveStatus	Queensbridge Group Practice		LE_892	:TermBasedCode
:LE_8920	im:CM_ActiveStatus	City Hospital		LE_8920	:TermBasedCode
:LE_8921	im:CM_ActiveStatus	Clacton Hospital		LE_8921	:TermBasedCode
:LE_8922	im:CM_ActiveStatus	Community Hospital Cunsultation		LE_8922	:TermBasedCode
:LE_8923	im:CM_ActiveStatus	Congleton War Memorial Hospital		LE_8923	:TermBasedCode
:LE_8924	im:CM_ActiveStatus	Contact method: Homerton University Hospital		LE_8924	:TermBasedCode
:LE_8925	im:CM_ActiveStatus	Contact method: Hospital		LE_8925	:TermBasedCode
:LE_8926	im:CM_ActiveStatus	Cottage Hospital		LE_8926	:TermBasedCode
:LE_8927	im:CM_ActiveStatus	Danesbury Hospital Welwyn		LE_8927	:TermBasedCode
:LE_8928	im:CM_ActiveStatus	Darlington Memorial Hospital		LE_8928	:TermBasedCode
:LE_8929	im:CM_ActiveStatus	Day Hospital		LE_8929	:TermBasedCode
:LE_893	im:CM_ActiveStatus	Queenstown Road Medical Practice		LE_893	:TermBasedCode
:LE_8930	im:CM_ActiveStatus	day hospital, guys  st. thomas		LE_8930	:TermBasedCode
:LE_8931	im:CM_ActiveStatus	Day Hospital-Queen Elizabeth 2		LE_8931	:TermBasedCode
:LE_8932	im:CM_ActiveStatus	Derriford Hospital		LE_8932	:TermBasedCode
:LE_8933	im:CM_ActiveStatus	Diana, Princess Of Wales Hospital		LE_8933	:TermBasedCode
:LE_8934	im:CM_ActiveStatus	Discharge From Hospital		LE_8934	:TermBasedCode
:LE_8935	im:CM_ActiveStatus	Dorset County Hospital		LE_8935	:TermBasedCode
:LE_8936	im:CM_ActiveStatus	East Kent Hospital, The Queen Mother Hospital		LE_8936	:TermBasedCode
:LE_8937	im:CM_ActiveStatus	East Sussex Hospitals - Eastbourne		LE_8937	:TermBasedCode
:LE_8938	im:CM_ActiveStatus	Eastman Dental Hospital		LE_8938	:TermBasedCode
:LE_8939	im:CM_ActiveStatus	Edenbridge Hospital		LE_8939	:TermBasedCode
:LE_894	im:CM_ActiveStatus	Radford Surgery		LE_894	:TermBasedCode
:LE_8940	im:CM_ActiveStatus	Elizabeth Garrett Anderson Hospital		LE_8940	:TermBasedCode
:LE_8941	im:CM_ActiveStatus	Ellesmere Port Hospital		LE_8941	:TermBasedCode
:LE_8942	im:CM_ActiveStatus	Fairfield General Hospital		LE_8942	:TermBasedCode
:LE_8943	im:CM_ActiveStatus	Fairfield General Hospital Casualty		LE_8943	:TermBasedCode
:LE_8944	im:CM_ActiveStatus	GP Hospital		LE_8944	:TermBasedCode
:LE_8945	im:CM_ActiveStatus	GP2GP Import, Contact method: Homerton University Hospital		LE_8945	:TermBasedCode
:LE_8946	im:CM_ActiveStatus	GP2GP Import, Contact method: Hospital		LE_8946	:TermBasedCode
:LE_8947	im:CM_ActiveStatus	GP2GP Import, Contact method: St Leonards Hospital		LE_8947	:TermBasedCode
:LE_8948	im:CM_ActiveStatus	gp2gp import, contact method: st marys hospital		LE_8948	:TermBasedCode
:LE_8949	im:CM_ActiveStatus	GP2GP Import, Contact method: The Whittington Hospital		LE_8949	:TermBasedCode
:LE_895	im:CM_ActiveStatus	Radiology Cancel discharge/end visit (outpatient)		LE_895	:TermBasedCode
:LE_8950	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Barts  London Hospital		LE_8950	:TermBasedCode
:LE_8951	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Homerton Hospital		LE_8951	:TermBasedCode
:LE_8952	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Hospital		LE_8952	:TermBasedCode
:LE_8953	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Hospital NOS		LE_8953	:TermBasedCode
:LE_8954	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Moorfield Eye Hospital		LE_8954	:TermBasedCode
:LE_8955	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Newham General Hospital		LE_8955	:TermBasedCode
:LE_8956	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. North Middlesex Hospital		LE_8956	:TermBasedCode
:LE_8957	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. North Staffs Hospital Trust		LE_8957	:TermBasedCode
:LE_8958	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Northwick Park Hospital		LE_8958	:TermBasedCode
:LE_8959	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Royal Free Hospital		LE_8959	:TermBasedCode
:LE_896	im:CM_ActiveStatus	Radiology Delete a patient record (outpatient)		LE_896	:TermBasedCode
:LE_8960	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Royal London Hospital, Mile End		LE_8960	:TermBasedCode
:LE_8961	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Royal London Hospital, Whitechapel		LE_8961	:TermBasedCode
:LE_8962	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Royal Shrewsbury Hospital		LE_8962	:TermBasedCode
:LE_8963	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Scarborough General Hospital		LE_8963	:TermBasedCode
:LE_8964	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Whipps Cross Hospital		LE_8964	:TermBasedCode
:LE_8965	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Whitby Hospital		LE_8965	:TermBasedCode
:LE_8966	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Whittington Hospital		LE_8966	:TermBasedCode
:LE_8967	im:CM_ActiveStatus	Grays Hospital  Thurrock MSK		LE_8967	:TermBasedCode
:LE_8968	im:CM_ActiveStatus	Great Ormond Street		LE_8968	:TermBasedCode
:LE_8969	im:CM_ActiveStatus	guys  st thomas hospital		LE_8969	:TermBasedCode
:LE_897	im:CM_ActiveStatus	Radiology Department		LE_897	:TermBasedCode
:LE_8970	im:CM_ActiveStatus	guys  st thomass hospital		LE_8970	:TermBasedCode
:LE_8971	im:CM_ActiveStatus	guys and st thomas hospital		LE_8971	:TermBasedCode
:LE_8972	im:CM_ActiveStatus	Guys Hospital		LE_8972	:TermBasedCode
:LE_8973	im:CM_ActiveStatus	HAMMERSMITH  HOSPITAL LONDON- DERMATOLOGY		LE_8973	:TermBasedCode
:LE_8974	im:CM_ActiveStatus	Hammersmith Hospital		LE_8974	:TermBasedCode
:LE_8975	im:CM_ActiveStatus	Hammersmith Hospital - Dermatology		LE_8975	:TermBasedCode
:LE_8976	im:CM_ActiveStatus	Hammersmith Hospital-Dermatology		LE_8976	:TermBasedCode
:LE_8977	im:CM_ActiveStatus	HAREFIELD HOSPITAL		LE_8977	:TermBasedCode
:LE_8978	im:CM_ActiveStatus	HAREFIELD HOSPITAL - CARDIOLOGY		LE_8978	:TermBasedCode
:LE_8979	im:CM_ActiveStatus	Heartlands Hospital		LE_8979	:TermBasedCode
:LE_898	im:CM_ActiveStatus	Radiology Dept		LE_898	:TermBasedCode
:LE_8980	im:CM_ActiveStatus	Hemel Hempstead Hospital		LE_8980	:TermBasedCode
:LE_8981	im:CM_ActiveStatus	Hereford County Hospital		LE_8981	:TermBasedCode
:LE_8982	im:CM_ActiveStatus	Holly House Hospital		LE_8982	:TermBasedCode
:LE_8983	im:CM_ActiveStatus	Home Hospital		LE_8983	:TermBasedCode
:LE_8984	im:CM_ActiveStatus	Homerton Hospital		LE_8984	:TermBasedCode
:LE_8985	im:CM_ActiveStatus	Homerton Hospital - East Wing		LE_8985	:TermBasedCode
:LE_8986	im:CM_ActiveStatus	Horton General Hospital		LE_8986	:TermBasedCode
:LE_8987	im:CM_ActiveStatus	Hospital (out of area)		LE_8987	:TermBasedCode
:LE_8988	im:CM_ActiveStatus	Hospital / Other Centres		LE_8988	:TermBasedCode
:LE_8989	im:CM_ActiveStatus	Hospital Admin		LE_8989	:TermBasedCode
:LE_899	im:CM_ActiveStatus	Radiology Dept, Kettering General Hosp		LE_899	:TermBasedCode
:LE_8990	im:CM_ActiveStatus	Hospital admission note		LE_8990	:TermBasedCode
:LE_8991	im:CM_ActiveStatus	Hospital Casualty		LE_8991	:TermBasedCode
:LE_8992	im:CM_ActiveStatus	Hospital Casualty Department		LE_8992	:TermBasedCode
:LE_8993	im:CM_ActiveStatus	Hospital Consultation		LE_8993	:TermBasedCode
:LE_8994	im:CM_ActiveStatus	Hospital Consultations		LE_8994	:TermBasedCode
:LE_8995	im:CM_ActiveStatus	Hospital Daycase		LE_8995	:TermBasedCode
:LE_8996	im:CM_ActiveStatus	Hospital Discharge		LE_8996	:TermBasedCode
:LE_8997	im:CM_ActiveStatus	Hospital Discharge Review		LE_8997	:TermBasedCode
:LE_8998	im:CM_ActiveStatus	Hospital Discharge Summary		LE_8998	:TermBasedCode
:LE_8999	im:CM_ActiveStatus	Hospital For Tropical Diseases		LE_8999	:TermBasedCode
:LE_9	im:CM_ActiveStatus	three year check		LE_9	:TermBasedCode
:LE_90	im:CM_ActiveStatus	Outpatient Trust		LE_90	:TermBasedCode
:LE_900	im:CM_ActiveStatus	Radiology Discharge/end visit (outpatient)		LE_900	:TermBasedCode
:LE_9000	im:CM_ActiveStatus	Hospital In-Patient		LE_9000	:TermBasedCode
:LE_9001	im:CM_ActiveStatus	Hospital In-Patient (Acute)		LE_9001	:TermBasedCode
:LE_9002	im:CM_ActiveStatus	Hospital In-Patient (Procedure)		LE_9002	:TermBasedCode
:LE_9003	im:CM_ActiveStatus	Hospital Inpt		LE_9003	:TermBasedCode
:LE_9004	im:CM_ActiveStatus	Hospital Nos		LE_9004	:TermBasedCode
:LE_9005	im:CM_ActiveStatus	Hospital O/P - Follow-Up Appt		LE_9005	:TermBasedCode
:LE_9006	im:CM_ActiveStatus	Hospital Out of District		LE_9006	:TermBasedCode
:LE_9007	im:CM_ActiveStatus	Hospital Out Patients		LE_9007	:TermBasedCode
:LE_9008	im:CM_ActiveStatus	Hospital Out-Patient		LE_9008	:TermBasedCode
:LE_9009	im:CM_ActiveStatus	Hospital Out-Patients		LE_9009	:TermBasedCode
:LE_901	im:CM_ActiveStatus	Radiology Imaging Report		LE_901	:TermBasedCode
:LE_9010	im:CM_ActiveStatus	Hospital Outpt		LE_9010	:TermBasedCode
:LE_9011	im:CM_ActiveStatus	Hospital patient		LE_9011	:TermBasedCode
:LE_9012	im:CM_ActiveStatus	Hospital Site		LE_9012	:TermBasedCode
:LE_9013	im:CM_ActiveStatus	Hospital Visit		LE_9013	:TermBasedCode
:LE_9014	im:CM_ActiveStatus	Hospital Ward		LE_9014	:TermBasedCode
:LE_9015	im:CM_ActiveStatus	Hospital, City General Hospital		LE_9015	:TermBasedCode
:LE_9016	im:CM_ActiveStatus	Hospital, Hospital		LE_9016	:TermBasedCode
:LE_9017	im:CM_ActiveStatus	Hospital, Hospital Of St Cross, Rugby		LE_9017	:TermBasedCode
:LE_9018	im:CM_ActiveStatus	Hospital, National Hospital for Neurology		LE_9018	:TermBasedCode
:LE_9019	im:CM_ActiveStatus	Hospital, North Middx		LE_9019	:TermBasedCode
:LE_902	im:CM_ActiveStatus	Radiology request		LE_902	:TermBasedCode
:LE_9020	im:CM_ActiveStatus	Hospital, Northampton General Hospital		LE_9020	:TermBasedCode
:LE_9021	im:CM_ActiveStatus	Hospital, Plane Tree Centre		LE_9021	:TermBasedCode
:LE_9022	im:CM_ActiveStatus	Hospital, sgh		LE_9022	:TermBasedCode
:LE_9023	im:CM_ActiveStatus	Hospital, University College Hosp, London		LE_9023	:TermBasedCode
:LE_9024	im:CM_ActiveStatus	Hospital, University Hospital of North Staffordshire (UHNS)		LE_9024	:TermBasedCode
:LE_9025	im:CM_ActiveStatus	Hospital, University Hosptial, Grafton Way, London.		LE_9025	:TermBasedCode
:LE_9026	im:CM_ActiveStatus	Hospital, was treated in SXH		LE_9026	:TermBasedCode
:LE_9027	im:CM_ActiveStatus	Hospital, Whipps Cross - Boyd S Goldie		LE_9027	:TermBasedCode
:LE_9028	im:CM_ActiveStatus	Hospital, Whipps Cross - G Robbins		LE_9028	:TermBasedCode
:LE_9029	im:CM_ActiveStatus	Hospital, WXH		LE_9029	:TermBasedCode
:LE_903	im:CM_ActiveStatus	Radiology Result		LE_903	:TermBasedCode
:LE_9030	im:CM_ActiveStatus	Hospital, WXH -		LE_9030	:TermBasedCode
:LE_9031	im:CM_ActiveStatus	Hospital, WXH - Dr Hogan		LE_9031	:TermBasedCode
:LE_9032	im:CM_ActiveStatus	Hospital, WXH - Mtr Hollingworth		LE_9032	:TermBasedCode
:LE_9033	im:CM_ActiveStatus	Hospitals		LE_9033	:TermBasedCode
:LE_9034	im:CM_ActiveStatus	IMM GIVEN AT A HOSPITAL		LE_9034	:TermBasedCode
:LE_9035	im:CM_ActiveStatus	Indirect Contact		LE_9035	:TermBasedCode
:LE_9036	im:CM_ActiveStatus	John Radcliffe Hospital		LE_9036	:TermBasedCode
:LE_9037	im:CM_ActiveStatus	KASIH IBU HOSPITAL - BALI		LE_9037	:TermBasedCode
:LE_9038	im:CM_ActiveStatus	kings college hospital		LE_9038	:TermBasedCode
:LE_9039	im:CM_ActiveStatus	kings mill hospital		LE_9039	:TermBasedCode
:LE_904	im:CM_ActiveStatus	Red House		LE_904	:TermBasedCode
:LE_9040	im:CM_ActiveStatus	Leeds Hospitals		LE_9040	:TermBasedCode
:LE_9041	im:CM_ActiveStatus	Leek Moorlands Hospital		LE_9041	:TermBasedCode
:LE_9042	im:CM_ActiveStatus	Leighton Hospital		LE_9042	:TermBasedCode
:LE_9043	im:CM_ActiveStatus	Lewisham Hospital		LE_9043	:TermBasedCode
:LE_9044	im:CM_ActiveStatus	Local Hospitals		LE_9044	:TermBasedCode
:LE_9045	im:CM_ActiveStatus	LUTON  DUNSTABLE HOSPITAL NHST		LE_9045	:TermBasedCode
:LE_9046	im:CM_ActiveStatus	LUTON  DUNSTABLE HOSPITAL NHST - CARDIOLOGY		LE_9046	:TermBasedCode
:LE_9047	im:CM_ActiveStatus	LUTON  DUNSTABLE HOSPITAL NHST - ENT		LE_9047	:TermBasedCode
:LE_9048	im:CM_ActiveStatus	LUTON  DUNSTABLE HOSPITAL NHST - GENERAL MEDICINE		LE_9048	:TermBasedCode
:LE_9049	im:CM_ActiveStatus	Lytham Hospital Casualty Session		LE_9049	:TermBasedCode
:LE_905	im:CM_ActiveStatus	Redlam Surgery		LE_905	:TermBasedCode
:LE_9050	im:CM_ActiveStatus	MacClesfield District General Hospital		LE_9050	:TermBasedCode
:LE_9051	im:CM_ActiveStatus	Marchwood Priory Hospital -		LE_9051	:TermBasedCode
:LE_9052	im:CM_ActiveStatus	Maudsley Hospital		LE_9052	:TermBasedCode
:LE_9053	im:CM_ActiveStatus	Medway Maritime Hospital		LE_9053	:TermBasedCode
:LE_9054	im:CM_ActiveStatus	Middlesex Hospital		LE_9054	:TermBasedCode
:LE_9055	im:CM_ActiveStatus	Mile End Hospital		LE_9055	:TermBasedCode
:LE_9056	im:CM_ActiveStatus	Minor Op Led Community Hospital		LE_9056	:TermBasedCode
:LE_9057	im:CM_ActiveStatus	Moore Cottage Hospital		LE_9057	:TermBasedCode
:LE_9058	im:CM_ActiveStatus	Moorfield Eye Hospital		LE_9058	:TermBasedCode
:LE_9059	im:CM_ActiveStatus	Moorfields At Mile End Hospital		LE_9059	:TermBasedCode
:LE_906	im:CM_ActiveStatus	Referral letter		LE_906	:TermBasedCode
:LE_9060	im:CM_ActiveStatus	moorfields at st anns hospital		LE_9060	:TermBasedCode
:LE_9061	im:CM_ActiveStatus	Morefields Eye Hospital		LE_9061	:TermBasedCode
:LE_9062	im:CM_ActiveStatus	mount vernon hospital		LE_9062	:TermBasedCode
:LE_9063	im:CM_ActiveStatus	Musgrove Park Hospital		LE_9063	:TermBasedCode
:LE_9064	im:CM_ActiveStatus	National Hospital For Neurology		LE_9064	:TermBasedCode
:LE_9065	im:CM_ActiveStatus	New Cottage Hospital West Park		LE_9065	:TermBasedCode
:LE_9066	im:CM_ActiveStatus	New Cross Hospital		LE_9066	:TermBasedCode
:LE_9067	im:CM_ActiveStatus	Newcastle General Hospital		LE_9067	:TermBasedCode
:LE_9068	im:CM_ActiveStatus	Newham General Hospital		LE_9068	:TermBasedCode
:LE_9069	im:CM_ActiveStatus	Newmarket Hospital		LE_9069	:TermBasedCode
:LE_907	im:CM_ActiveStatus	Referral Letter Dictated		LE_907	:TermBasedCode
:LE_9070	im:CM_ActiveStatus	Newmarket, Newmarket Hospital		LE_9070	:TermBasedCode
:LE_9071	im:CM_ActiveStatus	NHS Non Hospital Based Services / Bowel Cancer Screening		LE_9071	:TermBasedCode
:LE_9072	im:CM_ActiveStatus	Night Visit - GP local hospital		LE_9072	:TermBasedCode
:LE_9073	im:CM_ActiveStatus	North Holmwood, Hospital		LE_9073	:TermBasedCode
:LE_9074	im:CM_ActiveStatus	North Middlesex Hospital		LE_9074	:TermBasedCode
:LE_9075	im:CM_ActiveStatus	North Middlesex University Hospital		LE_9075	:TermBasedCode
:LE_9076	im:CM_ActiveStatus	North Tyneside General Hospital		LE_9076	:TermBasedCode
:LE_9077	im:CM_ActiveStatus	NORTH WEST LONDON HOSPITALS		LE_9077	:TermBasedCode
:LE_9078	im:CM_ActiveStatus	Northern General Hospital		LE_9078	:TermBasedCode
:LE_9079	im:CM_ActiveStatus	Northern General Hospital, Hospital		LE_9079	:TermBasedCode
:LE_908	im:CM_ActiveStatus	Referral Letter Sent		LE_908	:TermBasedCode
:LE_9080	im:CM_ActiveStatus	O/p Homerton Hospital		LE_9080	:TermBasedCode
:LE_9081	im:CM_ActiveStatus	Oldswinford Hospital School		LE_9081	:TermBasedCode
:LE_9082	im:CM_ActiveStatus	Orthopaedic, Thornbury Hospital		LE_9082	:TermBasedCode
:LE_9083	im:CM_ActiveStatus	Other Hospital		LE_9083	:TermBasedCode
:LE_9084	im:CM_ActiveStatus	Other Nhs Hospital		LE_9084	:TermBasedCode
:LE_9085	im:CM_ActiveStatus	Other NHS Hospital-HAMMERSMITH-DERMATOLOGY		LE_9085	:TermBasedCode
:LE_9086	im:CM_ActiveStatus	Other NHS Hospital-POOLE HOSPITAL		LE_9086	:TermBasedCode
:LE_9087	im:CM_ActiveStatus	Out Of Area Hospital		LE_9087	:TermBasedCode
:LE_9088	im:CM_ActiveStatus	OUT OF DISTRICT, Hospital Out of District		LE_9088	:TermBasedCode
:LE_9089	im:CM_ActiveStatus	Out Patient Newham General Hospital		LE_9089	:TermBasedCode
:LE_909	im:CM_ActiveStatus	Report		LE_909	:TermBasedCode
:LE_9090	im:CM_ActiveStatus	out patient st andrews hospital		LE_9090	:TermBasedCode
:LE_9091	im:CM_ActiveStatus	P C C - Dryden Road Hospital		LE_9091	:TermBasedCode
:LE_9092	im:CM_ActiveStatus	Place Unspecified		LE_9092	:TermBasedCode
:LE_9093	im:CM_ActiveStatus	Plaistow Hospital		LE_9093	:TermBasedCode
:LE_9094	im:CM_ActiveStatus	POOLE HOSPITAL		LE_9094	:TermBasedCode
:LE_9095	im:CM_ActiveStatus	POOLE HOSPITAL- ORTHOPAEDICS		LE_9095	:TermBasedCode
:LE_9096	im:CM_ActiveStatus	Princess Alexandra Hospital		LE_9096	:TermBasedCode
